2025-12-05 00:12:57 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=53m30s394ms).
2025-12-05 01:54:48 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h41m20s856ms).
2025-12-05 03:18:22 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h23m34s596ms).
2025-12-05 04:03:18 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=44m56s9ms).
2025-12-05 04:19:54 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=16m35s514ms).
2025-12-05 05:26:55 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h7m1s385ms).
2025-12-05 06:04:10 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=36m44s778ms).
2025-12-05 06:53:09 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=48m28s623ms).
2025-12-05 07:05:23 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=11m44s374ms).
2025-12-05 07:22:38 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=17m15s355ms).
2025-12-05 07:32:39 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=9m30s253ms).
2025-12-05 07:49:45 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=17m6s646ms).
2025-12-05 08:06:26 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=16m40s779ms).
2025-12-05 08:39:16 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=32m50s451ms).
2025-12-05 09:07:25 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=28m8s597ms).
2025-12-05 09:41:16 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=33m50s449ms).
2025-12-05 10:08:24 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=27m8s625ms).
2025-12-05 10:18:51 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=10m27s183ms).
2025-12-05 10:36:02 [scheduling-1] INFO  e.fhr.web.scheduler.ScheduleTask - [syncUsersToTalentLink()] Start
2025-12-05 10:36:02 [scheduling-1] INFO  e.f.w.s.TalentLinkUserSyncService - Starting user sync to TalentLink via SOAP
2025-12-05 10:36:03 [scheduling-1] INFO  e.f.w.s.TalentLinkUserSyncService - Found 0 unsynced users
2025-12-05 10:36:03 [scheduling-1] INFO  e.f.w.s.TalentLinkUserSyncService - No users to sync
2025-12-05 10:36:03 [scheduling-1] INFO  e.fhr.web.scheduler.ScheduleTask - [syncUsersToTalentLink()] - No users to sync
2025-12-05 10:36:03 [scheduling-1] INFO  e.fhr.web.scheduler.ScheduleTask - [syncUsersToTalentLink()] End
2025-12-05 11:00:00 [scheduling-1] INFO  e.fhr.web.scheduler.ScheduleTask - [syncUsersToTalentLink()] Start
2025-12-05 11:00:00 [scheduling-1] INFO  e.f.w.s.TalentLinkUserSyncService - Starting user sync to TalentLink via SOAP
2025-12-05 11:00:00 [scheduling-1] INFO  e.f.w.s.TalentLinkUserSyncService - Found 0 unsynced users
2025-12-05 11:00:00 [scheduling-1] INFO  e.f.w.s.TalentLinkUserSyncService - No users to sync
2025-12-05 11:00:00 [scheduling-1] INFO  e.fhr.web.scheduler.ScheduleTask - [syncUsersToTalentLink()] - No users to sync
2025-12-05 11:00:00 [scheduling-1] INFO  e.fhr.web.scheduler.ScheduleTask - [syncUsersToTalentLink()] End
2025-12-05 12:00:00 [scheduling-1] INFO  e.fhr.web.scheduler.ScheduleTask - [syncUsersToTalentLink()] Start
2025-12-05 12:00:00 [scheduling-1] INFO  e.f.w.s.TalentLinkUserSyncService - Starting user sync to TalentLink via SOAP
2025-12-05 12:00:00 [scheduling-1] INFO  e.f.w.s.TalentLinkUserSyncService - Found 0 unsynced users
2025-12-05 12:00:00 [scheduling-1] INFO  e.f.w.s.TalentLinkUserSyncService - No users to sync
